file,model_pair,strategy,dvfs_condition,dataset,rep,wall_time_s,total_tokens,alpha_mean,gpu_energy_Wh,total_energy_Wh,tokens_per_s,gpu_wh_per_1k,total_wh_per_1k,edp_gpu,edp_total,sm_clock_levels,clock_toggled,power_mw_mean,temp_c_max,f_high,f_low,batch_size,max_model_len,sm_count,sm_total
llama_8b_1b__spec_g18__adaptive_entropy__humaneval__rep0.json,llama_8b_1b,spec_g18,adaptive_entropy,humaneval,0,36.26237440109253,8979,0.9124216769503037,1.9302437664159844,3.8064638962591997,247.61202619234655,0.21497313358012968,0.42392960198899654,69.99522214315142,138.03141895039252,19,True,186003.98027057498,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__off__cnndm__rep0.json,llama_8b_1b,spec_g18,off,cnndm,0,53.79024052619934,7919,0.8821177789579276,5.346275110350004,7.968629718073852,147.2200146817141,0.675119978576841,1.0062671698540033,287.5774241049596,428.63450919941255,12,True,342499.3775609756,76,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__off__gsm8k__rep0.json,llama_8b_1b,spec_g18,off,gsm8k,0,29.31835126876831,12913,0.9108779546550893,2.804435299102001,4.292633990748962,440.4408652322722,0.21717922241942236,0.3324273205876994,82.2214192096058,125.85295120903281,11,True,317102.3697051847,71,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__off__humaneval__rep0.json,llama_8b_1b,spec_g18,off,humaneval,0,21.483474016189575,8979,0.911432301059755,2.0702436006379834,3.1885832068286684,417.9491637727483,0.23056505185855702,0.35511562610854974,44.47602460148887,68.50184447236212,11,True,308785.26359649125,70,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__two_level__cnndm__rep0.json,llama_8b_1b,spec_g18,two_level,cnndm,0,98.12975525856018,7919,0.8609524286764214,5.05334654267399,9.792745818509681,80.69927392699982,0.6381293777843149,1.2366139434915624,495.88365946928985,960.9597504796436,22,True,186436.46979641783,64,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__two_level__gsm8k__rep0.json,llama_8b_1b,spec_g18,two_level,gsm8k,0,47.47707223892212,12913,0.9108779546550893,2.568504277024,4.889562231740906,271.9839154153615,0.19890840835003487,0.37865424237132395,121.94506310624888,232.14209929306827,22,True,193640.52042628775,61,1935,735,8,2048,82,82
llama_8b_1b__spec_g18__two_level__humaneval__rep0.json,llama_8b_1b,spec_g18,two_level,humaneval,0,36.13596439361572,8979,0.9118458539511171,1.927687931037994,3.7941417845076613,248.47821694185512,0.21468848769773852,0.422557276367932,69.65886243799171,137.10497242929847,20,True,189749.28692699492,60,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__adaptive_alpha__cnndm__rep0.json,llama_8b_1b,spec_g5,adaptive_alpha,cnndm,0,63.249184131622314,7882,0.8741151512895903,3.16805336777401,6.296452945987414,124.6182082538403,0.4019352153988848,0.7988395008865027,200.37679079714454,398.2455117568537,19,True,178723.03978915152,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b,spec_g5,adaptive_alpha,gsm8k,0,39.93617653846741,13132,0.9207796728158719,2.130547537769978,4.1127820517550004,328.8246682140682,0.16224090296755847,0.3131877895031222,85.08592259197889,164.2487900831279,18,True,187682.98693522046,54,1935,735,8,2048,82,82
llama_8b_1b__spec_g5__adaptive_alpha__humaneval__rep0.json,llama_8b_1b,spec_g5,adaptive_alpha,humaneval,0,32.12020707130432,8924,0.9211388634280476,1.653461044989979,3.331551950135426,277.831334654519,0.18528250167973767,0.3733249607950948,53.10951114941335,107.0101385071576,19,True,183322.60125536835,53,1935,735,8,2048,82,82
