model_pair,strategy,gamma,dataset,dvfs_condition,vanilla_source,gpu_energy_ratio_vs_vanilla,speedup_vs_vanilla
llama_8b_1b_base,spec_g12,12,gsm8k,adaptive_entropy,llama_8b_1b,1.0585602641211251,0.5346733775709613
llama_8b_1b_base,spec_g12,12,gsm8k,off,llama_8b_1b,0.959574021163435,0.862831567621627
llama_8b_1b_base,spec_g12,12,gsm8k,two_level,llama_8b_1b,1.052230052664441,0.5344758691608292
llama_8b_1b_base,spec_g18,18,gsm8k,adaptive_alpha,llama_8b_1b,0.7795867207181268,0.399530510136697
llama_8b_1b_base,spec_g18,18,gsm8k,adaptive_entropy,llama_8b_1b,0.7806955160658657,0.4006832814335062
llama_8b_1b_base,spec_g18,18,gsm8k,off,llama_8b_1b,0.7057305269414549,0.6283721053545224
llama_8b_1b_base,spec_g18,18,gsm8k,two_level,llama_8b_1b,0.7788031403815482,0.4003027682967237
llama_8b_1b_base,spec_g5,5,gsm8k,adaptive_alpha,llama_8b_1b,1.454369034210495,0.7254153981943842
llama_8b_1b_base,spec_g5,5,gsm8k,adaptive_entropy,llama_8b_1b,1.4550074494840557,0.7245559763214107
llama_8b_1b_base,spec_g5,5,gsm8k,off,llama_8b_1b,1.3496602085721985,1.2330204765481696
llama_8b_1b_base,spec_g5,5,gsm8k,two_level,llama_8b_1b,1.4447248788619431,0.7254700392802579
llama_8b_1b_base,spec_g12,12,humaneval,adaptive_alpha,llama_8b_1b,1.2985773012231754,0.6389639500144467
llama_8b_1b_base,spec_g12,12,humaneval,adaptive_entropy,llama_8b_1b,1.3010868146739896,0.6415875613770254
llama_8b_1b_base,spec_g12,12,humaneval,off,llama_8b_1b,1.2005145455710085,1.0655873857249163
llama_8b_1b_base,spec_g12,12,humaneval,two_level,llama_8b_1b,1.2947839028080979,0.6385286384115205
llama_8b_1b_base,spec_g18,18,humaneval,adaptive_alpha,llama_8b_1b,1.0559463289351068,0.5297030128671494
llama_8b_1b_base,spec_g18,18,humaneval,adaptive_entropy,llama_8b_1b,1.0584994331970419,0.5308370802942676
llama_8b_1b_base,spec_g18,18,humaneval,off,llama_8b_1b,0.9809005755985449,0.8732773807275089
llama_8b_1b_base,spec_g18,18,humaneval,two_level,llama_8b_1b,1.0574914692666668,0.5323595014027077
llama_8b_1b_base,spec_g5,5,humaneval,adaptive_alpha,llama_8b_1b,1.6108672341687509,0.7965146359260822
llama_8b_1b_base,spec_g5,5,humaneval,adaptive_entropy,llama_8b_1b,1.6221050086708504,0.79762022360253
llama_8b_1b_base,spec_g5,5,humaneval,off,llama_8b_1b,1.5225276766891072,1.3816495954047299
llama_8b_1b_base,spec_g5,5,humaneval,two_level,llama_8b_1b,1.626423095964813,0.7971059119496604
