model_pair,strategy,gamma,dataset,dvfs_condition,gpu_energy_saving_pct,total_energy_saving_pct,latency_overhead_pct,edp_improvement,p_value_gpu_energy,n_cond,n_off
llama_8b_1b_base,spec_g12,12,cnndm,adaptive_alpha,4.967027548037823,-23.551864590423467,87.4585716711088,0.5613327524041206,,1,1
llama_8b_1b_base,spec_g12,12,cnndm,adaptive_entropy,5.3751246988081025,-22.719491239559083,87.83784456907374,0.5626153587490157,,1,1
llama_8b_1b_base,spec_g12,12,cnndm,two_level,4.669613460642928,-22.99041310409321,87.24145258805977,0.5602303651132401,,1,1
llama_8b_1b_base,spec_g12,12,gsm8k,adaptive_alpha,9.36255428667547,-13.34780182027492,61.28957335419085,0.6840471674376882,,1,1
llama_8b_1b_base,spec_g12,12,gsm8k,adaptive_entropy,9.351025757600485,-13.380709078771336,61.375449726242046,0.6835962006714958,,1,1
llama_8b_1b_base,spec_g12,12,gsm8k,two_level,8.805681919688933,-13.805642897014646,61.43508386568378,0.6792572713390297,,1,1
llama_8b_1b_base,spec_g12,12,humaneval,adaptive_alpha,7.551553192851746,-15.954211258216029,66.76799774084654,0.6486160130278529,,1,1
llama_8b_1b_base,spec_g12,12,humaneval,adaptive_entropy,7.7298661371940165,-13.839462581293526,66.08604185496822,0.6525378597348535,,1,1
llama_8b_1b_base,spec_g12,12,humaneval,two_level,7.280701979120994,-16.174377241190573,66.88169044004005,0.6462806822318237,,1,1
llama_8b_1b_base,spec_g18,18,cnndm,adaptive_alpha,6.109237540564458,-20.93851975662874,79.92994248268931,0.5919345546810871,,1,1
llama_8b_1b_base,spec_g18,18,cnndm,adaptive_entropy,6.203670214936157,-21.071711982172037,80.2910354180669,0.5913437651329934,,1,1
llama_8b_1b_base,spec_g18,18,cnndm,two_level,5.568578546616163,-21.251207927208597,79.8712081521755,0.588737665202071,,1,1
llama_8b_1b_base,spec_g18,18,gsm8k,adaptive_alpha,9.473762419739318,-13.02069178148238,57.277626967594685,0.7023580775225732,,1,1
llama_8b_1b_base,spec_g18,18,gsm8k,adaptive_entropy,9.602333762870774,-12.092687312658077,56.825137077450385,0.7053864381035789,,1,1
llama_8b_1b_base,spec_g18,18,gsm8k,two_level,9.382680892156372,-12.318485502107269,56.97420930367953,0.7030083547362076,,1,1
llama_8b_1b_base,spec_g18,18,humaneval,adaptive_alpha,7.106966640268866,-17.224700689014817,64.86169787871846,0.6529758013622236,,1,1
llama_8b_1b_base,spec_g18,18,humaneval,adaptive_entropy,7.331024955216175,-16.967613814638536,64.50949135719965,0.6559559576291633,,1,1
llama_8b_1b_base,spec_g18,18,humaneval,two_level,7.242696125126667,-15.856064192849571,64.03903347766328,0.65721078468552,,1,1
llama_8b_1b_base,spec_g5,5,cnndm,adaptive_alpha,5.349248627718563,-23.75195001864056,88.8075931767473,0.5595726480441828,,1,1
llama_8b_1b_base,spec_g5,5,cnndm,adaptive_entropy,5.71758490466325,-23.56729335750285,88.84282500780569,0.5616539436781185,,1,1
llama_8b_1b_base,spec_g5,5,cnndm,two_level,4.828863663521331,-23.912967824667277,88.52216134393849,0.5573555563895,,1,1
llama_8b_1b_base,spec_g5,5,gsm8k,adaptive_alpha,7.199604995381228,-18.506456638947,69.97440082155059,0.63396700617596,,1,1
llama_8b_1b_base,spec_g5,5,gsm8k,adaptive_entropy,7.24032313025017,-17.42269616733909,70.17601356464496,0.6334938848504184,,1,1
llama_8b_1b_base,spec_g5,5,gsm8k,two_level,6.58012274036771,-17.761365319325932,69.96159865836154,0.629810505016437,,1,1
llama_8b_1b_base,spec_g5,5,humaneval,adaptive_alpha,5.483975066711761,-19.021857490736345,73.46192186391275,0.6099446101712978,,1,1
llama_8b_1b_base,spec_g5,5,humaneval,adaptive_entropy,6.138772240358013,-18.60181342138553,73.22148492729707,0.6150522506249355,,1,1
llama_8b_1b_base,spec_g5,5,humaneval,two_level,6.38796998969532,-19.92132467423346,73.33325154060394,0.6162918901543025,,1,1
